tweet,polarity
"@Elina_Vay @piccmeeprizes @BigNiceGiveaway @GiveawaySquadd Udah follow kakak+para sponsor, udah rt+like juga. semoga sall yang dapet HP ini😭🙏🏻 capek banget pake HP sall yang sekarang sall pake, buat kuliah daring suka error, RAM udah penuh juga. kalo ini rejeki sall bakal bersyukur bgt😭❤️  https://t.co/iVhVcSf6Xw",1
"Apalagi kuliah daring, sulit buat maba😭",-1
"@dopehere @indomieitukunci @frsp_ @DAdeyaksa @margasayang Sapa bilang, liat noh komika luar jangan cuman nonto ovj",1
Utk teman2. Plis jgn tnya aku kalau ada tgs. Apalagi nanya udh ka blm. Tentu saja blm. Selama kuliah daring aku udh kehilangan motivasi buat bljr :),-1
"Sakno ee kuliah e sek daring, aku wae offline kadang ra paham belas og :( pye nk aku kuliah daring yo. Ditakoni paleng otakku ra mlalu belas",-1
@bdngfess Sarua nder pusing.  Urang ge kamari2 can kana skripsi keur kuliah daring pusing dititahan wae. Kadang sok teu nempo nu diimah teh. Batur diimah teh lain libur nya eh angger weennn .  Loba kapusing diimah mah ;(((  Sing kuat wen ndeeerrrrrr ngerem wen dikamer. Urang mah sok kitu,1
"@collegemenfess kuliah daring, tpi praktikum bbrp luring. gabisa bayangin kuliah dri pagi sampe sore jaga jarak pake masker, engap.",-1
"@panggilajaham kuliah daring = libur, ditambah hari libur makin jadi apa tuh wkwk",1
"Awal thn ini sempet ngebatin krna kampus sempet telat ngasi aturan utk kuliah daring. Temen temen kampus lain udah dirumahkan sementara gw masih harus ke kampus praktikum bla bla bla. Awalnya mikir “yuhu seneng bgt kuliah dari rumah, lumayan 2 minggu santai.",-1
"@Naunaback @samsungID done semoga beruntung huhu,  hpku dah kentang bgt dan katanya 2021 hp yg keluaran dah lama gabisa buat akses internet huhu😭 kan jd takut mana keperluan kuliah daring begini mau beli juga masih menabung semoga aja kalo memang rejeki wish me luckkkkk @samsungID #GalaxyNote20",1
klo kuliah daring gw terancam single selama setengah 2021... pdkt daring is cringe,-1
unpopular opinion: gua lebih suka kuliah daring 😭,-1
@Naunaback @samsungID 🤤 Ganti hp hpp ku udah risalah udah mati sebelah layarnya dan butuh ram yang memadai buat kuliah daring #GalaxyNote20 #GalaxyNote20Ultra @samsungID,-1
@Naunaback @samsungID Pengen ganti hp yang lebih memadai buat kuliah daring. Semoga dapet karena hp yang sekarang ini dah ngk cukup ram nya dan sering ngealag #GalaxyNote20 #GalaxyNote20Ultra @samsungID,-1
@Naunaback @samsungID Pengen ganti hp aja ke yang lebih baik. Biar kuliah daring bisa nyaman dan ngk takut kehabisan ram lagi. Spesifikasi nya juga bagus. Kamera bagus dan ram juga yang sangat aku butuhkan saat ini.Semoga dapet nih hp agar bisa kuliah lebih nyaman #GalaxyNote20 @samsungID,1
"@samsungID Jika kesempatan beli HP baru di YES 2020,saya akan beli Tab S7 utk mengganti laptop saya yg mulai ngehank saat dipake kuliah daring dlm wkt yg lama. #PowerfulGift #PowerfulGift #PowerfulGift",-1
@dsuperboy aku setelah hampir setahun kuliah daring,-1
Jadi guys....semester depan gw kuliah daring lagi 🙂,-1
"akutu dulu pernah pinter,cuma gadiasah aja. trs nambah kuliah daring,bodohlah aku",-1
Tips Mengatasi Rasa Bosan Selama Kuliah Daring  https://t.co/WvU8PqA8rL,-1
"@thaELFthatha Semoga selalu di lindungi oleh tuhan dan dijauhkan dari virus yg sdg gencar2nya ini. Smngat buat yang tiap hari kerja kluar, yg kuliah daring. Dimudahkan rizkinya. Sehat selalu. Jangan lupa pakai masker yaa, dan setelah berpergian jangan lupa lgsg mandi. 🥰🤍",1
"@Naunaback @samsungID Alasan aku mau #GalaxyNote20 dari @samsungID karna hp ku yang ini udah lemot banget batre juga udah ngembang gra gra kepanasan, ditambah lagi kuliah daring, pake google meet yang buat aku susah banget kalo engga sambil di cas bakalan cepet lowbett",-1
"@ganjarpranowo D rmh Ndan,,smbl jualan wedang uwuh homemade,dampak kuliah daring..lumayan buat beli quota internet.😁😁  https://t.co/gdRvCWNh32",-1
"@nadiemmakarim selamat malam pak,maaf menggangu. mau bertanya terkait kuliah daring,apakah diperbolehkan untuk seorang guru/dosen untuk mengadakan kegiatan belajar-mengajar dari jam 18:30 sampai jam 21:50? terima kasih",1
@sheilladianp Harus bersabar bgt kita kuliah daring:'),1
"Lama lama gue benci sama kuliah, daring bikin goblob. Kesel banget.. mana praktikum makin gajelas. Hishhh bikin emosi. Ga boleh offline tapi suruh ke peternak. Apa bedanya anjink :v dah lah bikin esmosi",-1
"Akibat terlalu lama kuliah daring, kawasan Universitas Andalas kembali ke fungsi aslinya sebagai kawasan hutan  https://t.co/kPJJPNYKrc",1
"Eh masih nyambi ngelab KTI ma kuliah daring, mana ngelabnya udh mulai hectic lg",-1
"[cm] halo gais, ada yang mau bantu ngisi kuisionerku tentang kuliah daring selama pandemi? Gak ada persyaratannya kok hehe. Makasihh",-1
@ladazaa Kelilit hutang negara,-1
@ludenthekid @oohneric Untuk sekarang. Kuliah daring bukan hanya salah satu untuk menghentikan penambahan positif pairus. Pemerintah bisa melakukan upaya lain dengan menutup jalur penerbangan DARI AWAL virus ini sudah ada. Sayangnya pemerintah tidak melakukan hal tersebut.,-1
@mks_fess Kalo perlu bawaki teman ta yg dikembalikan uang kelebihannya,-1
"@mks_fess Mintaki, nder. Hak ta itu hehe",-1
Heran dah ... Kayak gini lebih masuk ilmunya Daripada kuliah daring  https://t.co/MwCOvNYpm9,-1
Kuliah daring mulu pinter kaga goblok iyaa,-1
"gw kuliah awal"" makannya banyak bosh sampe naik bb dan banyak yg ngeh kalo gemukan, sekarang kuliah daring rebahan mulu bosh makan jg kalo inget. gimane ceritanye mo gemuk :(",1
"Dear PLN, bisa gasi jangan mati listrik pas hari aktivitas apalagi skrg kuliahnya daring? Smt 2 full di rumah cok kuliah daring, kalo listrik mati otomatis ganggu ye bangke",-1
Angkatan saya menambah wawasan emang karena kuliah daring smua serba gak masuk aja gitu yak semangat aja ambil esensinya aja jangan bilang kosong banget gak dapet2 apa2 di setiap semester.,-1
Senengnya kuliah daring 😉 @ Sleman  https://t.co/VYPYaSCS6d,-1
Woy kuliah daring bener bener bikin minus gue nambah yang awal nya cuma 1/4 sekarang gue nggak bisa liat apa apa kayak nonton video youtube resolusi 140p 😭😭,-1
"pls kuliah daring wae. kulo ra siap kuliah offline, sultan 😭🙏🏻",-1
Bau bau kuliah daring sampek tahun 2022 🥺,-1
"Siang, Communite! 😊  Diberitahukan kepada semua Communite untuk dapat mengisi survei di bawah ini mengenai penilaian kuliah daring selama semester ganjil 2020/2021.    https://t.co/IOQ4iDS7x3",-1
@kosvka vtuber rasa kuliah daring 😳,-1
"Sumpah materi siang ini relate bgt. Kesehatan mental ; begadang, overthingking, dampak kuliah daring.",-1
"@Naunaback @samsungID Udah nabung, ehh malah kepake yg lain (penting banget). kan ngga jadi"" belinya. Mana, hp yg sekarang tuh ngeganggu banget. apalagi pas kuliah daring, nge lag parah. masuk zoom, eh tiba"" hp mati, trus pas di hidupin lagi, eh nunggunya lama. @samsungID🙏 #GalaxyNote20",1
"Apresiasi diri tahun ini: sedikit demi sedikit chat orang udh fastrespon, karena dulu gue parah bgt WhatsApp bener gue silent notifnya klo gk gue uninstall. Makanya di infonya 'jarang aktif' dan orang² udh mls chat gue lagi 😂✌🏼Karena kuliah daring gue ga berani matiin notif eheh  https://t.co/FwE1rpBo0S",-1
"Kuliah daring lagi, astaghfirullahaladzim nangis bgt😭😭",-1
"Ini kenapa kuliah daring malah jadi ajang kuat kuatan backingan, pantes ga kuat",-1
Perdramaan smt 3 dimulai dgn  1. Kuliah daring 2. Dosen dipilihin akademik 3. Dapet dosen2 “ah mantep” 4. UAS sehari 2x!! Ah manteppp 5. SIAP2 NILAI TERJUN BEBAS~,-1
"RT fpub_official ""SURVEI BAGI MAHASISWA UB KULIAH DARING SEMESTER GANJIL 2020/2021   https://t.co/s3ohGF0fRt @hptub_official @bpfp_official @sosekfpub @bemfpub @HMIT_FPUB @himadatafpub @himapta_oyiker @permaseta @himapasca  https://t.co/e3cA7vKLnq""",-1
SURVEI BAGI MAHASISWA UB KULIAH DARING SEMESTER GANJIL 2020/2021   https://t.co/6wm4HI7XmM @hptub_official @bpfp_official @sosekfpub @bemfpub @HMIT_FPUB @himadatafpub @himapta_oyiker @permaseta @himapasca  https://t.co/SM1ewWP5zj,-1
kayanya gue gak sesiap itu buat kuliah daring januari ntar..  💔 i mean.. that's HARD moreee way than i expected 😩,-1
Kuliah daring cuma 10 minggu tu dapat apa kalo ga nyiksa batin 😭,-1
"@Naunaback @samsungID Simpel aja, karena hp ku sudah 3 taun belum ganti ditambah sekarang kuliah daring butuh banyak penyimpanan😭  #GalaxyNote20  @samsungID",-1
YAILAH KULIAH DARING LAGI Enaknyeee kuliah ngasih pdf/ppt/link dan ngasih tugas doang.,-1
"Kuliah daring, bayar UKT normal?",-1
Allah.. kuliah daring:(,1
masio kuliah daring masio kuliah luring panggah ganok gandenge (:,-1
Gadue hasrat gae kuliah daring sembarang mbresettt,-1
"@Naunaback @samsungID Mau buat kuliah daring kak soalnya hapeku kentang kadang suka lemot yang ini dan memori penyimpanan gak nyukup buat kelas online, dosen kalo ngasih materi ppt MB nya besar😭terus kalo ada tugas buat video gitu kayak ngelag ngeblur dan suaranya ga pas😭 #GalaxyNote20 @samsungID",1
"kuliah daring mengajarkanku cara multitasking bun, masak jalan, piring bersih, cucian terjemur dengan baik, dengan tetap tidak melupakan tugas sebagai mahasiswa✨ unch idaman banget ga tuch",-1
Semakin kesini malah sering lupa absen. Kuliah daring memang.....,-1
"kuliah daring tuh bayarnya ada 3 pokok 😌 1. UKT 2. Mental Health  3. Paketan (extra)/wifi  Sekian terima gaji :"")",-1
"@Naunaback @samsungID pengen banget ganti hp baru, karna yg ini sudah 4taun nemenin aku mana udah rewel dipake kuliah daring pula ditambah ram yg gak cukup😭 hp nya tipe galaxy j3 2016 #GalaxyNote20 @SamsungID",-1
Tipe-tipe mahasiswa pas kuliah daring. Kamu yang mana?  https://t.co/USy3JsFgd6,1
"@Naunaback @samsungID Baru aja baca berita, kuliah daring berlanjut sampe tahun depan, Ya allah ini bener² butuh hp yang punya spesifikasi bagus buat kuliah online😭😭😭 Wish me luck😭😭 #GalaxyNote20 @samsungID",1
"Dpt disimpulkan mending wisuda daring daripada kuliah daring.   Ya wisuda doang online tp kuliah haha hihi ilmu masuk  Nk kuliah online bisa rebahan rebahan rebahannnn ning otak kosong setahun stngah :)  Ojo meneh online e tkan lulus, ya wes mjd sarjana ilmu peronlinean",1
"kampusku udah ngeluarin surat edaran, intinya ""semester genap kuliah daring""   LAGIII 😭😭😭 sedih bgt :( Corona kapan ilang si",-1
"@Naunaback @samsungID #GalaxyNote20 desainnya cantik dan cocok buat kuliah daring, spesifikasi nya juga bagus, mantap banget buat kuliah atau kerja karena ada item pen nya ✨ @samsungID",1
"[ DISKUSI FIKOM 2020 ]  Halo teman-teman Fikom!  Kalian ingin memberikan aspirasi mengenai permasalahan kuliah daring tapi tidak tahu mau kemana?  Yuk, hadir dan ramaikan Diskusi Fikom Vol. 1, HARI INI! 🗓 : Jumat, 18 Desember 2020 🕑 : 14.00 - Selesai  https://t.co/aGKopqLH9d",1
"@Naunaback @samsungID hpku udah kepenuhan, mau dibersihin memorinya pun tetep aja bakal penuh lagi karna emang hpnya udah lama. apalagi sekarang kuliah daring yang apa2 harus donlot semuanya #GalaxyNote20 @samsungID",-1
@Naunaback @samsungID dan juga alasan ku ingin samsung #GalaxyNote20 karena untuk kuliah daring kan aku gak punya laptop jadi selama ini pake hp dan suka lemot bismillah semoga rezeki ku,1
"@Naunaback @samsungID Bismillah, kalo pun aku yang dapet, banyak banget keuntungan yang aku peroleh. Selain bisa lancar kuliah daring, insyaallah aku bakal ngembangin usaha online aku. HP ini bener² cape kayanya aku ajak kerja keras buat kuliah sambil jualan online😭🙏🏻 @samsungID #GalaxyNote20",1
"@Naunaback @samsungID Alasan aku kepengen HP Samsung Galaxy Note20 ini tuh biar ntar kalo menang, HPnya ku pake kuliah daring biar lancar, HP yang sekarang kadang suka lemot &amp; peyimpanan udh penuh, sampe bingung harus hapus aplikasi apa😭. Bismillah, semoga sall yang dapet😭💙 @samsungID #GalaxyNote20",-1
"@Naunaback @samsungID Karena mungkin semester depan juga masih kuliah daring, bukannya mau tapi butuh juga ka buat kulon, hp yang sekarang aku pake juga hp titisan bapak aku dan kapasitasnya juga pas""an, kalo belum rusak belum dibeliin, jadi bismillah semoga aku beruntung #GalaxyNote20 @samsungID",-1
"Kuliah daring sangat membosankan. Aktivitas belajar bahasa asing, mambaca buku, merawat ikan, mendadak jadi membosankan juga. Ara ingin sesuatu yg baru. Ia sangat merindukan bercengkrama dgn anak², menghabiskan energinya mendengarkan cerita² unik orang lain. ""apa ke alun² ya?""",-1
@dipanggilnyaana Kuliah daring  Nangis grgr doi ❎ Nangis grgr nugas ☑️,-1
"guys, tolong saranin pertanyaan dongg, aku mau buat surveii di gform tentang pengamatan perilaku mhswa selama pandemi/kuliah daring ini. [cm] baru kepikiran dikit bgtt, terima kasih udh bantu🥺🙏🏻",1
Kenapa si kalian teh lagi kuliah daring gini pada seriuzzz amat. Cing atuh lah chill dikit. Jadi insekyur😭,-1
"Gw gak pindah karena alesan bentar lagi mau lulus. Nyokap sampe dateng ke jkt buat jengukin keadaan gw, tapi dia tidurnya di rumah kakak gw (kan sama aja boong ya). Dan akhirnya kuliah daring mulai, gw mutusin buat berhenti ngekost dan pulang ke rumah. Udah deh gitu doang.",1
"Mana mall tutup jam 17.00 lagi, kan gak asyikkk. Kalo aku laper jam 18.00 gmn? Mau gofood apaan kalo mall tutup jam segitu Mana unair belum turun lagi suratnya, mau kuliah daring apa engga.",-1
"@collegemenfess Mana sempat, keburu kuliah daring nder,",-1
makin lama kok makin muak sama kuliah daring yaa😭😭,-1
@pgnuwutpgmwpcrn @sbyfess Pasti discord buat kuliah daring wkwk,-1
"[cm] GUA CAPE KULIAH DARING ANJIR. MATA GUA PANAS KENA RADIASI LAPTOP, BERJAM2 NATAP LAPTOP. CORINA GA SELESAI2, SADAR DIRI KEK YANG SUKA KELUAR MAEN2 BUKAN UNTUK HAL PENTING DAN MENDESAKK 😭😭😭😭 PLSS DEHH  https://t.co/Kga6biLiOI",-1
Ya allah gmn ini gua kuliah daring malah makin bego ditambah males pula,1
"Apakah kegiatan pratikum pasca uas menjadi bukti kegagalan kuliah daring? kampus hanya fokus pencicilan bayar ukt tanpa ada potongan.  Sudah gagal, bayar ukt full. Kasihan xiaomi user yg gabisa maenan ac kampus lgi.",-1
"""Kuliah daring berlanjut tahun depan""  - Tertanda, Kampusku :)",-1
"[FORUM ADVOKASI KE-2 : Problema Kuliah Daring Semasa Pandemi]  Hai, Pejuang Membara!  Sudah hampir dua semester perkuliahan terlewati di masa pandemi ini. Seluruh sendi kehidupan berubah, tak terkecuali dengan kondisi pendidikan yang ...  Selengkapnya di  https://t.co/PVuFH1fyGV  https://t.co/MGw3NAS9rN",-1
"Pengin ikut kuliah daring juga, nih #IDNTimesHype  https://t.co/KqWOpTEv0f",-1
Tahun depan masih kuliah daring rasanya ANJINGGGG🥱,-1
"Ngerasain gua. Yg sakit ga ketulungan itu gua. Tapi disuruh sabar sampe sembuh sendiri. Bukan apa2, klo kuliah lg libur sih okelah, ini kuliah masih berlangsung, demi tuhan ga enak banget kuliah daring sambil nahan sakit. Gua mati, itu salah kakak gua.",-1
"Masih ada kuliah, harus ngetake video buat tugas, enak ga sih lu kuliah daring tapi posisinya sakit bgt? Tadi konsul ke dokter, ini gejala c19. Tapi reaksi kakak gua gmn? Nyalahin gua karna gua konsul ke dokter. Nyuruh gua diem aja, jgn jujur ke dokter. Cuy, disini yg -c",-1
"@unsrifess Yaallah pak, saya makin bego kuliah daring ini:((( kasian pak yg saintek ini kalo harus praktikum online nanti waktu penelitian bingung pake alat lab:)))",-1
Mimin mau nanya Sobat Zona paling suka mata kuliah apa selama kuliah daring?,-1
"[cm] yang lagi ada di fase semester 5, coba drop tugas apa yang paling nyusahin / pusing saat kuliah daring gini?",-1
Begini Kuliah Daring Melalui Sistem LMS UNIKOM  https://t.co/NCGnVUc8IO,-1
"Perasaan ya kuliah daring lebih berat bebanya, jauhan masih harus kerja kelompok.. Ngapa sih kalo kuliah biasa aja susah nyatuin beberapa kepala lah ini malah daring makin susah wahai tlg.",-1
"Berikut 9 hal paling horor selama kuliah daring yang dialami mahasiswa, informasi dari Universitas Islam Indonesia (UII).  https://t.co/APk4RAOgPP",-1
"@fbbyarfn Garap Tugas, Kuliah daring, dng keluarga?  Yuk di Honger  Semarang Jl. Karang Rejo Banyumanik  Aneka Sate dan NasGor  Rempah-rempah Nusantara, tempat nyaman dan Harga terjangkau Buka Pkl. 10.00 S/D 22.00 tersedia: di Gofood dan Grabfood Lok&gt; https://t.co/Pvx8G8oryX",1
"@Nadeela_EG Garap Tugas, Kuliah daring, dng keluarga?  Yuk di Honger  Semarang Jl. Karang Rejo Banyumanik  Aneka Sate dan NasGor  Rempah-rempah Nusantara, tempat nyaman dan Harga terjangkau Buka Pkl. 10.00 S/D 22.00 tersedia: di Gofood dan Grabfood Lok&gt; https://t.co/Pvx8G8oryX",1
"@____NumeroUno @hidantt Garap Tugas, Kuliah daring, dng keluarga?  Yuk di Honger  Semarang Jl. Karang Rejo Banyumanik  Aneka Sate dan NasGor  Rempah-rempah Nusantara, tempat nyaman dan Harga terjangkau Buka Pkl. 10.00 S/D 22.00 tersedia: di Gofood dan Grabfood Lok&gt; https://t.co/Pvx8G8G2Xx",1
